Block,suillus,fert,above_mass,plantresp,soilresp,soilrespday,soilresppdayg,soilrespyrg,soilrespdaykg,soilrespyrkg,soilrespadj
6,0,N3,0.31,0.12452,0.28869,6.92856,0.00692856,2.5289244,6.93E-16,2.53E-13,-0.33811158
6,1,N1,0.8,0.2089,0.88619,21.26856,0.02126856,7.7630244,2.13E-15,7.76E-13,0.09460797
6,0,N1,0.17,0.38708,0.08841,2.12184,0.00212184,0.7744716,2.12E-16,7.74E-14,-0.971238152
6,0,N2,0.64,0.38032,0.19076,4.57824,0.00457824,1.6710576,4.58E-16,1.67E-13,-0.635400607
6,0,N1,0.31,0.16211,0.27039,6.48936,0.00648936,2.3686164,6.49E-16,2.37E-13,-0.394277944
6,1,C,0.97,1.0271,0.42649,10.23576,0.01023576,3.7360524,1.02E-15,3.74E-13,-0.390390018
6,1,N2,0.47,0.53229,0.28374,6.80976,0.00680976,2.4855624,6.81E-16,2.49E-13,-0.498298055
6,1,N3,0.17,0.39731,0.45288,10.86912,0.01086912,3.9672288,1.09E-15,3.97E-13,-0.264497877
7,1,C,2.65,2.71497,0.85588,20.54112,0.02054112,7.4975088,2.05E-15,7.50E-13,-0.19156106
7,0,N3,0.76,2.20926,1.09151,26.19624,0.02619624,9.5616276,2.62E-15,9.56E-13,-0.064283484
7,1,N3,0.35,1.77033,0.75651,18.15624,0.01815624,6.6270276,1.82E-15,6.63E-13,-0.200218641
7,0,N2,0.43,0.59645,0.31373,7.52952,0.00752952,2.7482748,7.53E-16,2.75E-13,-0.468140599
7,0,N2,0.6,0.61543,0.13759,3.30216,0.00330216,1.2052884,3.30E-16,1.21E-13,-0.829401994
7,0,N3,0.32,1.3016,0.75021,18.00504,0.01800504,6.5718396,1.80E-15,6.57E-13,-0.171525907
7,1,C,1.86,1.91525,0.41985,10.0764,0.0100764,3.677886,1.01E-15,3.68E-13,-0.464208341
7,0,N1,0.88,1.08315,0.32429,7.78296,0.00778296,2.8407804,7.78E-16,2.84E-13,-0.516466875
7,1,N1,0.7,4.48404,0.29528,7.08672,0.00708672,2.5866528,7.09E-16,2.59E-13,-0.706471149
7,1,N1,1.11,1.69708,0.81348,19.52352,0.01952352,7.1260848,1.95E-15,7.13E-13,-0.164245409
7,0,C,0.59,0.43229,0.05746,1.37904,0.00137904,0.5033496,1.38E-16,5.03E-14,-1.171500752
7,0,N1,0.8,0.99704,0.12511,3.00264,0.00300264,1.0959636,3.00E-16,1.10E-13,-0.92140248
7,1,N3,0.14,1.63687,0.89309,21.43416,0.02143416,7.8234684,2.14E-15,7.82E-13,-0.119900653
7,1,N2,1.61,3.24406,0.50005,12.0012,0.0120012,4.380438,1.20E-15,4.38E-13,-0.443672297
7,1,N2,2.01,1.95854,1.05222,25.25328,0.02525328,9.2174472,2.53E-15,9.22E-13,-0.067544962
8,1,C,0.47,1.53294,0.50867,12.20808,0.01220808,4.4559492,1.22E-15,4.46E-13,-0.354698344
8,0,N1,0.85,0.77659,0.07163,1.71912,0.00171912,0.6274788,1.72E-16,6.27E-14,-1.134571056
8,1,N2,0.27,1.05048,0.40595,9.7428,0.0097428,3.556122,9.74E-16,3.56E-13,-0.412941909
8,1,N1,0.86,2.60895,0.50672,12.16128,0.01216128,4.4388672,1.22E-15,4.44E-13,-0.412252318
8,1,C,1.13,1.10722,0.44448,10.66752,0.01066752,3.8936448,1.07E-15,3.89E-13,-0.379090824
8,0,N2,0.76,0.9445,0.25572,6.13728,0.00613728,2.2401072,6.14E-16,2.24E-13,-0.602473135
